site,category,year,country,states,latitude,longitude
Rock Paintings of Shulgan-Tash Cave,Cultural,2025,RU,Russian Federation,53.0494444444,57.0720277778
L'viv – the Ensemble of the Historic Centre,Cultural,1998,UA,Ukraine,49.8386111111,24.0144444444
L'viv – the Ensemble of the Historic Centre,Cultural,1998,UA,Ukraine,49.8416666667,24.0319444444
Residence of Bukovinian and Dalmatian Metropolitans,Cultural,2011,UA,Ukraine,48.2966666667,25.9247222222
Ancient City of Tauric Chersonese and its Chora,Cultural,2013,UA,Ukraine,44.5238888889,33.5008333333
Ancient City of Tauric Chersonese and its Chora,Cultural,2013,UA,Ukraine,44.5261111111,33.5466666667
Ancient City of Tauric Chersonese and its Chora,Cultural,2013,UA,Ukraine,44.5502777778,33.47
Ancient City of Tauric Chersonese and its Chora,Cultural,2013,UA,Ukraine,44.5605555556,33.4083333333
Ancient City of Tauric Chersonese and its Chora,Cultural,2013,UA,Ukraine,44.5622222222,33.4097222222
Ancient City of Tauric Chersonese and its Chora,Cultural,2013,UA,Ukraine,44.5641666667,33.4113888889
Ancient City of Tauric Chersonese and its Chora,Cultural,2013,UA,Ukraine,44.5708333333,33.4775
Ancient City of Tauric Chersonese and its Chora,Cultural,2013,UA,Ukraine,44.6108333333,33.4913888889
"Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings, Kyiv-Pechersk Lavra",Cultural,1990,UA,Ukraine,50.4339333333,30.558375
"Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings, Kyiv-Pechersk Lavra",Cultural,1990,UA,Ukraine,50.4373888889,30.5549166667
"Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings, Kyiv-Pechersk Lavra",Cultural,1990,UA,Ukraine,50.4528555556,30.5143277778
The Historic Centre of Odesa,Cultural,2023,UA,Ukraine,46.48645,30.7416138889
